Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
073240	KR7073240004	금호타이어	KOSPI		5780	1	70	1.23	5610	5830	5610	219279	1263435990	1660364458860	287260287	STK
003230	KR7003230000	삼양식품	KOSPI		217000	2	-2500	-1.14	216000	221000	215000	24395	5308144000	1634664255000	7533015	STK
328130	KR7328130000	루닛	KOSDAQ	기술성장기업부	56800	1	400	0.71	55100	56900	54500	315637	17459121500	1633557208000	28759810	KSQ
042670	KR7042670000	HD현대인프라코어	KOSPI		8090	1	50	0.62	7960	8120	7910	1317619	10617024580	1614791934770	199603453	STK
051600	KR7051600005	한전KPS	KOSPI		35800	1	400	1.13	35050	36050	35050	111093	3967575050	1611000000000	45000000	STK
007310	KR7007310006	오뚜기	KOSPI		401500	2	-2500	-0.62	403000	405000	400500	1592	640218000	1609143745000	4007830	STK
017800	KR7017800004	현대엘리베이	KOSPI		40250	2	-250	-0.62	40100	40500	40050	37790	1522350300	1573468496250	39092385	STK
298050	KR7298050006	효성첨단소재	KOSPI		351000	1	9000	2.63	342000	357000	340500	43006	15097479000	1572461748000	4479948	STK
000240	KR7000240002	한국앤컴퍼니	KOSPI		16540	2	-110	-0.66	16770	17320	16530	85264	1436453670	1570228869600	94935240	STK
047040	KR7047040001	대우건설	KOSPI		3775	2	-5	-0.13	3760	3800	3720	772093	2909273655	1568975458450	415622638	STK
204320	KR7204320006	HL만도	KOSPI		33300	1	350	1.06	32500	33300	32300	159221	5242622500	1563672096000	46957120	STK
011210	KR7011210002	현대위아	KOSPI		56100	2	-200	-0.36	55800	56800	55600	84507	4749375300	1525644156300	27195083	STK
012510	KR7012510004	더존비즈온	KOSPI		50100	2	-3200	-6.0	52700	54800	49650	985843	51478398400	1522177478400	30382784	STK
121600	KR7121600001	나노신소재	KOSDAQ	우량기업부	121800	2	-1700	-1.38	122800	125400	121300	102422	12600358500	1481073140400	12159878	KSQ
192820	KR7192820009	코스맥스	KOSPI		128700	3	0	0.0	128700	131300	126900	80115	10326825100	1460681808300	11349509	STK
103140	KR7103140000	풍산	KOSPI		51700	2	-1400	-2.64	53200	53800	51500	341662	17935563600	1448855172600	28024278	STK
000080	KR7000080002	하이트진로	KOSPI		20600	1	150	0.73	20350	20800	20350	91931	1897383300	1444752386600	70133611	STK
005850	KR7005850003	에스엘	KOSPI		31100	2	-200	-0.64	31300	31650	30850	84242	2627097700	1444548972000	46448520	STK
298020	KR7298020009	효성티앤씨	KOSPI		333000	1	4000	1.22	323000	340000	323000	26054	8761942000	1441118106000	4327682	STK
018670	KR7018670000	SK가스	KOSPI		155700	1	1800	1.17	153900	156900	153400	9382	1458304100	1437148990800	9230244	STK
145720	KR7145720009	덴티움	KOSPI		129500	2	-2700	-2.04	132200	134500	128900	65005	8492043100	1433413485000	11068830	STK
002710	KR7002710002	TCC스틸	KOSPI		54500	2	-1600	-2.85	55000	56300	54000	175896	9656516500	1428646486500	26213697	STK
139130	KR7139130009	DGB금융지주	KOSPI		8430	2	-60	-0.71	8410	8560	8410	420806	3568125030	1425899372190	169145833	STK
137310	KR7137310009	에스디바이오센서	KOSPI		11150	2	-190	-1.68	11300	11340	11100	133274	1490501930	1387922485950	124477353	STK
034230	KR7034230003	파라다이스	KOSDAQ	중견기업부	15010	1	30	0.2	14870	15100	14750	527559	7895297050	1377303715750	91759075	KSQ
078600	KR7078600004	대주전자재료	KOSDAQ	우량기업부	88700	1	600	0.68	87000	91700	87000	128504	11472292200	1373128599100	15480593	KSQ
185750	KR7185750007	종근당	KOSPI		104200	2	-400	-0.38	103500	104900	103000	29348	3045747000	1372774564000	13174420	STK
375500	KR7375500006	DL이앤씨	KOSPI		35300	1	500	1.44	34400	35300	33850	107621	3736270700	1365884891900	38693623	STK
253450	KR7253450001	스튜디오드래곤	KOSDAQ	우량기업부	44450	3	0	0.0	44250	44450	43800	69428	3060778650	1336100236100	30058498	KSQ
